n,Média,Mínimo,Máximo
10,0.00,0.00,0.00
25,0.00,0.00,0.00
50,0.00,0.00,0.00
75,0.00,0.00,0.00
100,1.56,0.00,15.61
250,0.00,0.00,0.00
500,6.25,0.00,15.68
750,7.81,0.00,15.63
1000,15.62,15.56,15.65
2500,32.81,31.23,46.87
5000,79.67,78.07,93.75
7500,125.00,109.37,156.25
10000,182.80,156.30,249.99
25000,479.66,468.70,515.60
50000,1048.42,1031.22,1062.48
75000,1650.62,1640.59,1662.81
100000,2340.77,2296.78,2401.86
250000,6340.33,6281.00,6484.12
500000,13720.26,13593.44,13918.29
750000,21382.83,21124.53,21504.46
1000000,29357.19,29202.00,29608.25
2500000,80195.49,79918.09,80811.35
5000000,173122.57,172034.64,176178.37
7500000,268169.91,263804.78,271479.57
